,Date,Open,High,Low,Close,Volume,Polarity,Subjectivity,Adj Close
94,05-03-07,12051.16992,12188.83984,12039.11035,12050.41016,278770000,0.062540584,0.303210678,12050.41016
95,06-03-07,12204.45996,12224.41016,12050.61035,12207.58984,278810000,0.1358021,0.380731659,12207.58984
96,07-03-07,12193.33008,12256.94043,12178.99023,12192.4502,263540000,0.120523625,0.397273875,12192.4502
97,08-03-07,12262.05957,12303.63965,12193.33008,12260.7002,241070000,0.070192308,0.50224359,12260.7002
98,09-03-07,12275.67969,12330.87988,12228.5,12276.32031,211040000,0.116078386,0.371530419,12276.32031
99,12-03-07,12307.49023,12349.9502,12246.51953,12318.62012,219580000,-0.058333333,0.335416667,12318.62012
100,13-03-07,12074.51953,12307.57031,12071.48047,12075.95996,312340000,0.08497549,0.379607843,12075.95996
101,14-03-07,12133.16016,12142.94043,11939.61035,12133.40039,333450000,0.091028643,0.358763766,12133.40039
102,15-03-07,12159.67969,12188.12012,12105.91992,12159.67969,232600000,-0.026725838,0.180374753,12159.67969
103,16-03-07,12110.41016,12190.36035,12082.12988,12110.41016,388660000,0.078964457,0.268321372,12110.41016
104,19-03-07,12226.80957,12234.66992,12110.41016,12226.16992,208480000,0.004960317,0.307242063,12226.16992
105,20-03-07,12288.98047,12294.03027,12213.11035,12288.09961,196620000,0.085820146,0.351108305,12288.09961
106,21-03-07,12446.71973,12480.4502,12263.50977,12447.51953,246000000,0.140590948,0.365771844,12447.51953
107,22-03-07,12460.5,12476.28027,12408.50977,12461.13965,232700000,0.072222222,0.277777778,12461.13965
108,23-03-07,12480.37012,12511.04981,12448.65039,12481.00977,206410000,0.13883246,0.370919913,12481.00977
109,26-03-07,12468.66992,12486.78027,12367.16992,12469.07031,219960000,0.090097072,0.299748729,12469.07031
110,27-03-07,12396.49023,12468.66992,12377.26953,12397.29004,209340000,0.121039551,0.448625344,12397.29004
111,28-03-07,12301.48047,12396.49023,12257.41992,12300.36035,224830000,0.122690049,0.397084901,12300.36035
112,29-03-07,12348.91016,12381.91016,12267.58984,12348.75,208160000,0.06546469,0.269972096,12348.75
113,30-03-07,12354.51953,12416.67969,12242.59961,12354.34961,233630000,0.057828283,0.256032548,12354.34961
114,02-04-07,12379.04981,12394.98047,12324.28027,12382.29981,209420000,0.150167117,0.395729579,12382.29981
115,03-04-07,12511.36035,12534.26953,12379.04981,12510.29981,220470000,0.145549242,0.316477273,12510.29981
116,04-04-07,12523.21973,12541.50977,12495.75,12530.04981,210130000,0.09004386,0.242458799,12530.04981
117,05-04-07,12562.63965,12572.46973,12500.38965,12560.2002,164930000,0,0,12560.2002
118,09-04-07,12568.49023,12593.59961,12555.32031,12569.13965,191590000,0,0,12569.13965
119,10-04-07,12573.12012,12588.55957,12549.46973,12573.84961,214690000,0.140467653,0.349858225,12573.84961
120,11-04-07,12483.63965,12580.03027,12455.84961,12484.62012,245470000,-0.012409054,0.454008198,12484.62012
121,12-04-07,12551.91016,12557.34961,12428.21973,12552.95996,218300000,0.06987013,0.347656788,12552.95996
122,13-04-07,12611.63965,12615.37988,12530.20996,12612.12988,224240000,0.120745921,0.358041958,12612.12988
123,16-04-07,12719.55957,12731.17969,12611.30957,12720.45996,225020000,0.058629547,0.331778197,12720.45996
124,17-04-07,12771.08008,12790.01953,12707.4502,12773.04004,256880000,0.040885528,0.382639706,12773.04004
125,18-04-07,12799.76953,12838.45996,12728.99023,12803.83984,261950000,0,0,12803.83984
126,19-04-07,12811.15039,12830.08008,12734.91992,12808.62988,262590000,0,0,12808.62988
127,20-04-07,12961.98047,12966.29004,12810.16992,12961.98047,415650000,0.101864234,0.377494223,12961.98047
128,23-04-07,12919.63965,12983.91992,12916.62988,12919.40039,223290000,0.07507228,0.388435996,12919.40039
129,24-04-07,12951.41992,12989.86035,12901.67969,12953.94043,238400000,0.075799107,0.406229663,12953.94043
130,25-04-07,13088.83984,13107.4502,12951.41992,13089.88965,250170000,0.014026915,0.421169772,13089.88965
131,26-04-07,13104.04004,13132.79981,13068.12012,13105.5,251620000,0.087281371,0.414806494,13105.5
